ID,BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
65893,3,1,Ht Pump,Y,1,7,4,1905,2007,1969,2,11/18/2009 0:00,553000,Q,1,1964,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood/Carp,2,1,11,1620,7/22/2018 18:01,Residential,,,36 QUINCY PLACE NE,WASHINGTON,DC,20002,18S UJ 25945 08931,38.91203704,-77.0074939,Eckington,019 B Eckington,8701,008701 1006,Ward 5,3521,-77.00757128,38.91206561,NE
69905,2,0,Warm Cool,Y,1,6,3,1926,2008,1964,2,7/31/2008 0:00,370000,Q,1,1080,1,2 Story,Single,Average,Good,Common Brick,Metal- Sms,Hardwood,1,1,12,3493,7/22/2018 18:01,Residential,,,913 JACKSON STREET NE,WASHINGTON,DC,20017,18S UJ 27245 10819,38.92929584,-76.99298187,Brookland,007 E Brookland,9301,009301 2021,Ward 5,3834,-76.9930579,38.92899529,NE
64800,2,1,Forced Air,Y,1,6,3,1915,2005,1969,3,8/19/2005 0:00,599950,Q,1,2388,1,3 Story,Row Inside,Good Quality,Very Good,Common Brick,Built Up,Hardwood,1,0,11,808,7/22/2018 18:01,Residential,,,2505 NORTH CAPITOL STREET NE,WASHINGTON,DC,20002,18S UJ 25863 10108,38.92262111,-77.00873953,Brookland,007 E Brookland,9203,009203 1005,Ward 5,3503,-77.00874013,38.92278873,NE
40113,3,0,Forced Air,Y,1,7,4,1935,2011,1969,2,5/5/2017 0:00,1275000,Q,5,2158,1,2 Story,Single,Good Quality,Very Good,Common Brick,Slate,Hardwood,1,1,12,5745,7/22/2018 18:01,Residential,,,6353 31ST PLACE NW,WASHINGTON,DC,20015,18S UJ 21607 15934,38.97422922,-77.05932172,Chevy Chase,011 D Chevy Chase,1500,001500 4009,Ward 4,2349,-77.05965339,38.97432776,NW
40146,2,1,Hot Water Rad,N,1,9,5,1934,2003,1967,2.5,10/1/2001 0:00,355000,Q,1,2135,1,2.5 Story Fin,Single,Good Quality,Good,Brick/Siding,Slate,Hardwood,1,1,12,4000,7/22/2018 18:01,Residential,,,6018 UTAH AVENUE NW,WASHINGTON,DC,20015,18S UJ 21363 15388,38.96926412,-77.0619908,Chevy Chase,011 C Chevy Chase,1500,001500 2000,Ward 4,2331,-77.06274088,38.9693426,NW
78032,2,2,Forced Air,Y,1,6,3,1946,2007,1963,2,10/3/2002 0:00,264900,Q,1,1591,1,2 Story,Single,Above Average,Good,Common Brick,Slate,Hardwood,1,1,12,7232,7/22/2018 18:01,Residential,,,2819 OTIS STREET NE,WASHINGTON,DC,20018,18S UJ 29480 11390,38.93487466,-76.96735349,Woodridge,056 A Woodridge,9400,009400 3009,Ward 5,4307,-76.96689797,38.93489847,NE
6581,1,0,Forced Air,Y,1,4,2,1900,1976,1954,2,5/28/2010 0:00,378000,Q,1,672,1,2 Story,Row End,Average,Average,Common Brick,Metal- Sms,Hardwood/Carp,1,1,11,675,7/22/2018 18:01,Residential,,,512 GROFF COURT NE,WASHINGTON,DC,20002,18S UJ 26459 07221,38.89673848,-77.0011372,Old City 1,039 K Old City 1,8301,008301 2002,Ward 6,779,-77.00133544,38.89674593,NE
57512,1,0,Forced Air,Y,1,6,3,1926,1964,1943,2,5/10/2004 0:00,167000,U,1,1152,1,2 Story,Row Inside,Average,Good,Common Brick,Metal- Sms,Hardwood,1,0,11,1607,7/22/2018 18:01,Residential,,,626 EMERSON STREET NW,WASHINGTON,DC,20011,18S UJ 24808 13138,38.94969369,-77.02167058,Petworth,042 B Petworth,2201,002201 1007,Ward 4,3214,-77.02125222,38.94934773,NW
76800,4,0,Forced Air,Y,1,8,5,1927,2003,1967,2,7/30/2003 0:00,320000,Q,1,1848,1,2 Story,Single,Above Average,Good,Aluminum,Comp Shingle,Hardwood/Carp,1,1,12,5600,7/22/2018 18:01,Residential,,,2013 EVARTS STREET NE,WASHINGTON,DC,20018,18S UJ 28801 10232,38.92431122,-76.97489076,Woodridge,056 C Woodridge,11100,011100 3006,Ward 5,4213,-76.97489303,38.92406019,NE
36646,3,0,Warm Cool,Y,1,7,4,1936,2010,1969,3,12/23/2016 0:00,1182000,Q,2,1991,1,3 Story,Row Inside,Good Quality,Very Good,Common Brick,Built Up,Hardwood,1,2,11,1805,7/22/2018 18:01,Residential,,,2555 WATERSIDE DRIVE NW,WASHINGTON,DC,20008,18S UJ 21621 09499,38.91628516,-77.05748382,Kalorama,029 A Kalorama,4100,004100 3003,Ward 2,2500,-77.05722872,38.91603129,NW
46476,3,1,Forced Air,Y,2,10,4,1912,2005,1967,2,1/7/2002 0:00,130000,U,1,1564,1,2 Story,Row End,Above Average,Good,Common Brick,Metal- Sms,Hardwood,2,0,24,2152,7/22/2018 18:01,Residential,,,1377 QUINCY STREET NW,WASHINGTON,DC,20011,18S UJ 23880 11838,38.93780054,-77.03204795,Columbia Heights,015 B Columbia Heights,2502,002502 3003,Ward 4,2825,-77.03113316,38.93810204,NW
24952,4,1,Warm Cool,Y,1,9,5,1932,2010,1983,2.5,7/24/2003 0:00,1236000,Q,1,3654,1,2.5 Story Fin,Single,Superior,Average,Brick/Siding,Slate,Hardwood,1,1,12,11570,7/22/2018 18:01,Residential,,,1700 HOBAN ROAD NW,WASHINGTON,DC,20007,18S UJ 19395 09171,38.91287878,-77.08305327,Berkley,004 B Berkley,802,000802 2009,Ward 3,1349,-77.08416432,38.91281575,NW
49499,1,1,Warm Cool,Y,1,8,3,1920,2005,1969,1.75,2/16/2018 0:00,559000,U,4,1601,1,2 Story,Single,Good Quality,Good,Wood Siding,Comp Shingle,Hardwood/Carp,1,1,12,5574,7/22/2018 18:01,Residential,,,1315 FARRAGUT STREET NW,WASHINGTON,DC,20011,18S UJ 23996 13301,38.95100163,-77.03108344,16th Street Heights,049 B 16th Street Heights,2002,002002 3009,Ward 4,2806,-77.03063619,38.95144505,NW
8331,3,0,Warm Cool,Y,3,12,6,1905,1965,1961,2,3/6/2000 0:00,450000,Q,1,2174,1,2 Story,Row Inside,Very Good,Average,Common Brick,Metal- Sms,Wood Floor,3,3,24,1900,7/22/2018 18:01,Residential,,,508 2ND STREET SE,WASHINGTON,DC,20003,18S UJ 26242 05686,38.88287491,-77.00324556,Capitol Hill,009 A Capitol Hill,6500,006500 2014,Ward 6,765,-77.0027097,38.8827739,SE
4916,1,1,Hot Water Rad,Y,1,6,2,1890,2004,1969,2,5/22/2009 0:00,669725,Q,1,1610,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,1,1,11,1275,7/22/2018 18:01,Residential,,,2237 13TH STREET NW,WASHINGTON,DC,20009,18S UJ 24069 09882,38.92022829,-77.0293591,Old City 2,040 F Old City 2,4400,004400 1004,Ward 1,271,-77.0286814,38.91994712,NW
